model_name,layer_idx,relation_score_pair_balanced,n_relation_pairs
Qwen/Qwen2.5-3B,0,0.0,6
Qwen/Qwen2.5-3B,2,0.0,6
Qwen/Qwen2.5-3B,4,0.0,6
Qwen/Qwen2.5-3B,6,0.0,6
Qwen/Qwen2.5-3B,8,0.00505050505050505,6
Qwen/Qwen2.5-3B,10,0.15151515151515152,6
Qwen/Qwen2.5-3B,12,0.20075757575757577,6
Qwen/Qwen2.5-3B,14,0.3055555555555555,6
Qwen/Qwen2.5-3B,16,0.4053030303030303,6
Qwen/Qwen2.5-3B,18,0.4330808080808081,6
Qwen/Qwen2.5-3B,20,0.45580808080808083,6
Qwen/Qwen2.5-3B,22,0.6066017316017316,6
Qwen/Qwen2.5-3B,24,0.6116522366522367,6
Qwen/Qwen2.5-3B,26,0.7227633477633478,6
Qwen/Qwen2.5-3B,28,0.939033189033189,6
Qwen/Qwen2.5-3B,30,0.899891774891775,6
Qwen/Qwen2.5-3B,32,0.9146825396825397,6
Qwen/Qwen2.5-3B,34,0.9327200577200577,6
meta-llama/Llama-3.2-3B,0,0.0,6
meta-llama/Llama-3.2-3B,2,0.0,6
meta-llama/Llama-3.2-3B,4,0.13888888888888887,6
meta-llama/Llama-3.2-3B,6,0.45580808080808083,6
meta-llama/Llama-3.2-3B,8,0.47979797979797983,6
meta-llama/Llama-3.2-3B,10,0.4696969696969697,6
meta-llama/Llama-3.2-3B,12,0.47979797979797983,6
meta-llama/Llama-3.2-3B,14,0.8320707070707071,6
meta-llama/Llama-3.2-3B,16,0.9747474747474748,6
meta-llama/Llama-3.2-3B,18,0.9696969696969697,6
meta-llama/Llama-3.2-3B,20,0.9343434343434344,6
meta-llama/Llama-3.2-3B,22,0.9343434343434344,6
meta-llama/Llama-3.2-3B,24,0.9204545454545455,6
meta-llama/Llama-3.2-3B,26,0.9154040404040403,6
meta-llama/Meta-Llama-3-8B,0,0.0,6
meta-llama/Meta-Llama-3-8B,2,0.0,6
meta-llama/Meta-Llama-3-8B,4,0.21085858585858586,6
meta-llama/Meta-Llama-3-8B,6,0.3106060606060606,6
meta-llama/Meta-Llama-3-8B,8,0.3851010101010101,6
meta-llama/Meta-Llama-3-8B,10,0.4204545454545454,6
meta-llama/Meta-Llama-3-8B,12,0.47474747474747475,6
meta-llama/Meta-Llama-3-8B,14,0.8033910533910534,6
meta-llama/Meta-Llama-3-8B,16,0.9848484848484849,6
meta-llama/Meta-Llama-3-8B,18,0.9848484848484849,6
meta-llama/Meta-Llama-3-8B,20,0.9848484848484849,6
meta-llama/Meta-Llama-3-8B,22,0.9646464646464646,6
meta-llama/Meta-Llama-3-8B,24,0.9646464646464646,6
meta-llama/Meta-Llama-3-8B,26,0.9494949494949495,6
meta-llama/Meta-Llama-3-8B,28,0.9444444444444445,6
meta-llama/Meta-Llama-3-8B,30,0.9393939393939394,6
microsoft/phi-2,0,0.0,6
microsoft/phi-2,2,0.0,6
microsoft/phi-2,4,0.0,6
microsoft/phi-2,6,0.1414141414141414,6
microsoft/phi-2,8,0.24116161616161616,6
microsoft/phi-2,10,0.255050505050505,6
microsoft/phi-2,12,0.375,6
microsoft/phi-2,14,0.4103535353535353,6
microsoft/phi-2,16,0.48394660894660896,6
microsoft/phi-2,18,0.612914862914863,6
microsoft/phi-2,20,0.9630230880230881,6
microsoft/phi-2,22,0.9579725829725829,6
microsoft/phi-2,24,0.9507575757575758,6
microsoft/phi-2,26,0.9646464646464646,6
microsoft/phi-2,28,0.9646464646464646,6
microsoft/phi-2,30,0.9646464646464646,6
