model_name,layer_idx,relation_score,overwrite_pct,failure_pct,n
Qwen/Qwen2.5-3B,0,0.0,0.015151515151515152,0.9848484848484849,132
Qwen/Qwen2.5-3B,2,0.0,0.022727272727272728,0.9772727272727273,132
Qwen/Qwen2.5-3B,4,0.0,0.05303030303030303,0.946969696969697,132
Qwen/Qwen2.5-3B,6,0.0,0.05303030303030303,0.946969696969697,132
Qwen/Qwen2.5-3B,8,0.007575757575757576,0.13636363636363635,0.8560606060606061,132
Qwen/Qwen2.5-3B,10,0.22727272727272727,0.20454545454545456,0.5681818181818182,132
Qwen/Qwen2.5-3B,12,0.2878787878787879,0.32575757575757575,0.38636363636363635,132
Qwen/Qwen2.5-3B,14,0.4318181818181818,0.22727272727272727,0.3409090909090909,132
Qwen/Qwen2.5-3B,16,0.5151515151515151,0.25,0.23484848484848486,132
Qwen/Qwen2.5-3B,18,0.5303030303030303,0.2803030303030303,0.1893939393939394,132
Qwen/Qwen2.5-3B,20,0.5378787878787878,0.22727272727272727,0.23484848484848486,132
Qwen/Qwen2.5-3B,22,0.6818181818181818,0.1893939393939394,0.12878787878787878,132
Qwen/Qwen2.5-3B,24,0.6893939393939394,0.22727272727272727,0.08333333333333333,132
Qwen/Qwen2.5-3B,26,0.7727272727272727,0.19696969696969696,0.030303030303030304,132
Qwen/Qwen2.5-3B,28,0.9393939393939394,0.06060606060606061,0.0,132
Qwen/Qwen2.5-3B,30,0.8939393939393939,0.10606060606060606,0.0,132
Qwen/Qwen2.5-3B,32,0.8939393939393939,0.10606060606060606,0.0,132
Qwen/Qwen2.5-3B,34,0.9166666666666666,0.08333333333333333,0.0,132
meta-llama/Llama-3.2-3B,0,0.0,0.007575757575757576,0.9924242424242424,132
meta-llama/Llama-3.2-3B,2,0.0,0.030303030303030304,0.9696969696969697,132
meta-llama/Llama-3.2-3B,4,0.12878787878787878,0.12121212121212122,0.75,132
meta-llama/Llama-3.2-3B,6,0.5378787878787878,0.09848484848484848,0.36363636363636365,132
meta-llama/Llama-3.2-3B,8,0.5606060606060606,0.09090909090909091,0.3484848484848485,132
meta-llama/Llama-3.2-3B,10,0.5454545454545454,0.12121212121212122,0.3333333333333333,132
meta-llama/Llama-3.2-3B,12,0.5606060606060606,0.09848484848484848,0.3409090909090909,132
meta-llama/Llama-3.2-3B,14,0.8939393939393939,0.10606060606060606,0.0,132
meta-llama/Llama-3.2-3B,16,0.9621212121212122,0.03787878787878788,0.0,132
meta-llama/Llama-3.2-3B,18,0.9545454545454546,0.045454545454545456,0.0,132
meta-llama/Llama-3.2-3B,20,0.9015151515151515,0.09848484848484848,0.0,132
meta-llama/Llama-3.2-3B,22,0.9015151515151515,0.09848484848484848,0.0,132
meta-llama/Llama-3.2-3B,24,0.8939393939393939,0.10606060606060606,0.0,132
meta-llama/Llama-3.2-3B,26,0.8863636363636364,0.11363636363636363,0.0,132
meta-llama/Meta-Llama-3-8B,0,0.0,0.0,1.0,132
meta-llama/Meta-Llama-3-8B,2,0.0,0.022727272727272728,0.9772727272727273,132
meta-llama/Meta-Llama-3-8B,4,0.25,0.05303030303030303,0.696969696969697,132
meta-llama/Meta-Llama-3-8B,6,0.3333333333333333,0.045454545454545456,0.6212121212121212,132
meta-llama/Meta-Llama-3-8B,8,0.4318181818181818,0.045454545454545456,0.5227272727272727,132
meta-llama/Meta-Llama-3-8B,10,0.48484848484848486,0.09848484848484848,0.4166666666666667,132
meta-llama/Meta-Llama-3-8B,12,0.553030303030303,0.06818181818181818,0.3787878787878788,132
meta-llama/Meta-Llama-3-8B,14,0.8181818181818182,0.09848484848484848,0.08333333333333333,132
meta-llama/Meta-Llama-3-8B,16,0.9772727272727273,0.022727272727272728,0.0,132
meta-llama/Meta-Llama-3-8B,18,0.9772727272727273,0.022727272727272728,0.0,132
meta-llama/Meta-Llama-3-8B,20,0.9772727272727273,0.022727272727272728,0.0,132
meta-llama/Meta-Llama-3-8B,22,0.946969696969697,0.05303030303030303,0.0,132
meta-llama/Meta-Llama-3-8B,24,0.946969696969697,0.05303030303030303,0.0,132
meta-llama/Meta-Llama-3-8B,26,0.9242424242424242,0.07575757575757576,0.0,132
meta-llama/Meta-Llama-3-8B,28,0.9166666666666666,0.08333333333333333,0.0,132
meta-llama/Meta-Llama-3-8B,30,0.9090909090909091,0.09090909090909091,0.0,132
microsoft/phi-2,0,0.0,0.0,1.0,132
microsoft/phi-2,2,0.0,0.17424242424242425,0.8257575757575758,132
microsoft/phi-2,4,0.0,0.20454545454545456,0.7954545454545454,132
microsoft/phi-2,6,0.21212121212121213,0.08333333333333333,0.7045454545454546,132
microsoft/phi-2,8,0.29545454545454547,0.07575757575757576,0.6287878787878788,132
microsoft/phi-2,10,0.30303030303030304,0.09090909090909091,0.6060606060606061,132
microsoft/phi-2,12,0.4166666666666667,0.03787878787878788,0.5454545454545454,132
microsoft/phi-2,14,0.4696969696969697,0.03787878787878788,0.49242424242424243,132
microsoft/phi-2,16,0.5757575757575758,0.030303030303030304,0.3939393939393939,132
microsoft/phi-2,18,0.6590909090909091,0.09848484848484848,0.24242424242424243,132
microsoft/phi-2,20,0.9621212121212122,0.03787878787878788,0.0,132
microsoft/phi-2,22,0.9545454545454546,0.045454545454545456,0.0,132
microsoft/phi-2,24,0.9393939393939394,0.06060606060606061,0.0,132
microsoft/phi-2,26,0.946969696969697,0.05303030303030303,0.0,132
microsoft/phi-2,28,0.946969696969697,0.05303030303030303,0.0,132
microsoft/phi-2,30,0.946969696969697,0.05303030303030303,0.0,132
