model_name,layer_idx,entity_transfer_pct,overwrite_pct,failure_pct,n
Qwen/Qwen2.5-3B,0,0.0,0.0,1.0,83
Qwen/Qwen2.5-3B,2,0.0,0.03614457831325301,0.963855421686747,83
Qwen/Qwen2.5-3B,4,0.0,0.060240963855421686,0.9397590361445783,83
Qwen/Qwen2.5-3B,6,0.0,0.08433734939759036,0.9156626506024096,83
Qwen/Qwen2.5-3B,8,0.0,0.1686746987951807,0.8313253012048193,83
Qwen/Qwen2.5-3B,10,0.0,0.30120481927710846,0.6987951807228916,83
Qwen/Qwen2.5-3B,12,0.0,0.4819277108433735,0.5180722891566265,83
Qwen/Qwen2.5-3B,14,0.0,0.5421686746987951,0.4578313253012048,83
Qwen/Qwen2.5-3B,16,0.0,0.7228915662650602,0.27710843373493976,83
Qwen/Qwen2.5-3B,18,0.0,0.7469879518072289,0.25301204819277107,83
Qwen/Qwen2.5-3B,20,0.0,0.7831325301204819,0.21686746987951808,83
Qwen/Qwen2.5-3B,22,0.0,0.8674698795180723,0.13253012048192772,83
Qwen/Qwen2.5-3B,24,0.0,0.891566265060241,0.10843373493975904,83
Qwen/Qwen2.5-3B,26,0.03614457831325301,0.891566265060241,0.07228915662650602,83
Qwen/Qwen2.5-3B,28,0.30120481927710846,0.6987951807228916,0.0,83
Qwen/Qwen2.5-3B,30,0.27710843373493976,0.7228915662650602,0.0,83
Qwen/Qwen2.5-3B,32,0.7831325301204819,0.21686746987951808,0.0,83
Qwen/Qwen2.5-3B,34,0.8674698795180723,0.13253012048192772,0.0,83
meta-llama/Llama-3.2-3B,0,0.0,0.0,1.0,83
meta-llama/Llama-3.2-3B,2,0.0,0.0963855421686747,0.9036144578313253,83
meta-llama/Llama-3.2-3B,4,0.0,0.12048192771084337,0.8795180722891566,83
meta-llama/Llama-3.2-3B,6,0.0,0.3614457831325301,0.6385542168674698,83
meta-llama/Llama-3.2-3B,8,0.0,0.6265060240963856,0.37349397590361444,83
meta-llama/Llama-3.2-3B,10,0.0,0.6626506024096386,0.3373493975903614,83
meta-llama/Llama-3.2-3B,12,0.012048192771084338,0.7710843373493976,0.21686746987951808,83
meta-llama/Llama-3.2-3B,14,0.20481927710843373,0.7710843373493976,0.024096385542168676,83
meta-llama/Llama-3.2-3B,16,0.43373493975903615,0.5542168674698795,0.012048192771084338,83
meta-llama/Llama-3.2-3B,18,0.8554216867469879,0.14457831325301204,0.0,83
meta-llama/Llama-3.2-3B,20,0.927710843373494,0.07228915662650602,0.0,83
meta-llama/Llama-3.2-3B,22,0.891566265060241,0.10843373493975904,0.0,83
meta-llama/Llama-3.2-3B,24,0.8795180722891566,0.12048192771084337,0.0,83
meta-llama/Llama-3.2-3B,26,0.891566265060241,0.10843373493975904,0.0,83
meta-llama/Meta-Llama-3-8B,0,0.0,0.012048192771084338,0.9879518072289156,83
meta-llama/Meta-Llama-3-8B,2,0.0,0.060240963855421686,0.9397590361445783,83
meta-llama/Meta-Llama-3-8B,4,0.0,0.12048192771084337,0.8795180722891566,83
meta-llama/Meta-Llama-3-8B,6,0.0,0.25301204819277107,0.7469879518072289,83
meta-llama/Meta-Llama-3-8B,8,0.024096385542168676,0.39759036144578314,0.5783132530120482,83
meta-llama/Meta-Llama-3-8B,10,0.012048192771084338,0.4578313253012048,0.5301204819277109,83
meta-llama/Meta-Llama-3-8B,12,0.012048192771084338,0.6024096385542169,0.3855421686746988,83
meta-llama/Meta-Llama-3-8B,14,0.13253012048192772,0.6626506024096386,0.20481927710843373,83
meta-llama/Meta-Llama-3-8B,16,0.3855421686746988,0.5301204819277109,0.08433734939759036,83
meta-llama/Meta-Llama-3-8B,18,0.5301204819277109,0.4578313253012048,0.012048192771084338,83
meta-llama/Meta-Llama-3-8B,20,0.7349397590361446,0.26506024096385544,0.0,83
meta-llama/Meta-Llama-3-8B,22,0.891566265060241,0.10843373493975904,0.0,83
meta-llama/Meta-Llama-3-8B,24,0.891566265060241,0.10843373493975904,0.0,83
meta-llama/Meta-Llama-3-8B,26,0.8554216867469879,0.14457831325301204,0.0,83
meta-llama/Meta-Llama-3-8B,28,0.8554216867469879,0.14457831325301204,0.0,83
meta-llama/Meta-Llama-3-8B,30,0.8795180722891566,0.12048192771084337,0.0,83
microsoft/phi-2,0,0.0,0.04819277108433735,0.9518072289156626,83
microsoft/phi-2,2,0.0,0.12048192771084337,0.8795180722891566,83
microsoft/phi-2,4,0.0,0.1686746987951807,0.8313253012048193,83
microsoft/phi-2,6,0.0,0.24096385542168675,0.7590361445783133,83
microsoft/phi-2,8,0.0,0.30120481927710846,0.6987951807228916,83
microsoft/phi-2,10,0.0,0.3614457831325301,0.6385542168674698,83
microsoft/phi-2,12,0.0,0.4457831325301205,0.5542168674698795,83
microsoft/phi-2,14,0.0,0.5421686746987951,0.4578313253012048,83
microsoft/phi-2,16,0.10843373493975904,0.6385542168674698,0.25301204819277107,83
microsoft/phi-2,18,0.1927710843373494,0.6867469879518072,0.12048192771084337,83
microsoft/phi-2,20,0.3253012048192771,0.6746987951807228,0.0,83
microsoft/phi-2,22,0.5060240963855421,0.4939759036144578,0.0,83
microsoft/phi-2,24,0.7228915662650602,0.27710843373493976,0.0,83
microsoft/phi-2,26,0.8795180722891566,0.12048192771084337,0.0,83
microsoft/phi-2,28,0.8795180722891566,0.12048192771084337,0.0,83
microsoft/phi-2,30,0.8674698795180723,0.13253012048192772,0.0,83
