model_name,layer_idx,relation_transfer_pct,overwrite_pct,failure_pct,n
Qwen/Qwen2.5-3B,0,0.0,0.007575757575757576,0.9924242424242424,132
Qwen/Qwen2.5-3B,2,0.0,0.045454545454545456,0.9545454545454546,132
Qwen/Qwen2.5-3B,4,0.0,0.08333333333333333,0.9166666666666666,132
Qwen/Qwen2.5-3B,6,0.0,0.11363636363636363,0.8863636363636364,132
Qwen/Qwen2.5-3B,8,0.0,0.24242424242424243,0.7575757575757576,132
Qwen/Qwen2.5-3B,10,0.0,0.4318181818181818,0.5681818181818182,132
Qwen/Qwen2.5-3B,12,0.007575757575757576,0.6439393939393939,0.3484848484848485,132
Qwen/Qwen2.5-3B,14,0.015151515151515152,0.6439393939393939,0.3409090909090909,132
Qwen/Qwen2.5-3B,16,0.007575757575757576,0.803030303030303,0.1893939393939394,132
Qwen/Qwen2.5-3B,18,0.007575757575757576,0.8939393939393939,0.09848484848484848,132
Qwen/Qwen2.5-3B,20,0.007575757575757576,0.9242424242424242,0.06818181818181818,132
Qwen/Qwen2.5-3B,22,0.007575757575757576,0.9318181818181818,0.06060606060606061,132
Qwen/Qwen2.5-3B,24,0.007575757575757576,0.9393939393939394,0.05303030303030303,132
Qwen/Qwen2.5-3B,26,0.022727272727272728,0.9621212121212122,0.015151515151515152,132
Qwen/Qwen2.5-3B,28,0.29545454545454547,0.7045454545454546,0.0,132
Qwen/Qwen2.5-3B,30,0.22727272727272727,0.7727272727272727,0.0,132
Qwen/Qwen2.5-3B,32,0.8181818181818182,0.18181818181818182,0.0,132
Qwen/Qwen2.5-3B,34,0.8712121212121212,0.12878787878787878,0.0,132
meta-llama/Llama-3.2-3B,0,0.0,0.015151515151515152,0.9848484848484849,132
meta-llama/Llama-3.2-3B,2,0.0,0.13636363636363635,0.8636363636363636,132
meta-llama/Llama-3.2-3B,4,0.0,0.23484848484848486,0.7651515151515151,132
meta-llama/Llama-3.2-3B,6,0.0,0.5984848484848485,0.4015151515151515,132
meta-llama/Llama-3.2-3B,8,0.015151515151515152,0.7348484848484849,0.25,132
meta-llama/Llama-3.2-3B,10,0.007575757575757576,0.75,0.24242424242424243,132
meta-llama/Llama-3.2-3B,12,0.007575757575757576,0.8333333333333334,0.1590909090909091,132
meta-llama/Llama-3.2-3B,14,0.15151515151515152,0.8181818181818182,0.030303030303030304,132
meta-llama/Llama-3.2-3B,16,0.4621212121212121,0.5378787878787878,0.0,132
meta-llama/Llama-3.2-3B,18,0.8181818181818182,0.18181818181818182,0.0,132
meta-llama/Llama-3.2-3B,20,0.9166666666666666,0.08333333333333333,0.0,132
meta-llama/Llama-3.2-3B,22,0.8787878787878788,0.12121212121212122,0.0,132
meta-llama/Llama-3.2-3B,24,0.8636363636363636,0.13636363636363635,0.0,132
meta-llama/Llama-3.2-3B,26,0.8787878787878788,0.12121212121212122,0.0,132
meta-llama/Meta-Llama-3-8B,0,0.0,0.022727272727272728,0.9772727272727273,132
meta-llama/Meta-Llama-3-8B,2,0.0,0.05303030303030303,0.946969696969697,132
meta-llama/Meta-Llama-3-8B,4,0.0,0.18181818181818182,0.8181818181818182,132
meta-llama/Meta-Llama-3-8B,6,0.0,0.3409090909090909,0.6590909090909091,132
meta-llama/Meta-Llama-3-8B,8,0.007575757575757576,0.5984848484848485,0.3939393939393939,132
meta-llama/Meta-Llama-3-8B,10,0.022727272727272728,0.5833333333333334,0.3939393939393939,132
meta-llama/Meta-Llama-3-8B,12,0.022727272727272728,0.6893939393939394,0.2878787878787879,132
meta-llama/Meta-Llama-3-8B,14,0.15151515151515152,0.6590909090909091,0.1893939393939394,132
meta-llama/Meta-Llama-3-8B,16,0.4166666666666667,0.5151515151515151,0.06818181818181818,132
meta-llama/Meta-Llama-3-8B,18,0.6363636363636364,0.3560606060606061,0.007575757575757576,132
meta-llama/Meta-Llama-3-8B,20,0.7878787878787878,0.21212121212121213,0.0,132
meta-llama/Meta-Llama-3-8B,22,0.9166666666666666,0.08333333333333333,0.0,132
meta-llama/Meta-Llama-3-8B,24,0.9166666666666666,0.08333333333333333,0.0,132
meta-llama/Meta-Llama-3-8B,26,0.8636363636363636,0.13636363636363635,0.0,132
meta-llama/Meta-Llama-3-8B,28,0.8636363636363636,0.13636363636363635,0.0,132
meta-llama/Meta-Llama-3-8B,30,0.8939393939393939,0.10606060606060606,0.0,132
microsoft/phi-2,0,0.0,0.030303030303030304,0.9696969696969697,132
microsoft/phi-2,2,0.0,0.14393939393939395,0.8560606060606061,132
microsoft/phi-2,4,0.0,0.19696969696969696,0.803030303030303,132
microsoft/phi-2,6,0.0,0.3106060606060606,0.6893939393939394,132
microsoft/phi-2,8,0.0,0.4015151515151515,0.5984848484848485,132
microsoft/phi-2,10,0.0,0.4621212121212121,0.5378787878787878,132
microsoft/phi-2,12,0.007575757575757576,0.5681818181818182,0.42424242424242425,132
microsoft/phi-2,14,0.007575757575757576,0.6439393939393939,0.3484848484848485,132
microsoft/phi-2,16,0.11363636363636363,0.6818181818181818,0.20454545454545456,132
microsoft/phi-2,18,0.24242424242424243,0.6742424242424242,0.08333333333333333,132
microsoft/phi-2,20,0.36363636363636365,0.6212121212121212,0.015151515151515152,132
microsoft/phi-2,22,0.553030303030303,0.44696969696969696,0.0,132
microsoft/phi-2,24,0.7196969696969697,0.2803030303030303,0.0,132
microsoft/phi-2,26,0.8484848484848485,0.15151515151515152,0.0,132
microsoft/phi-2,28,0.8636363636363636,0.13636363636363635,0.0,132
microsoft/phi-2,30,0.8484848484848485,0.15151515151515152,0.0,132
