model_name,layer_idx,entity_wins,relation_wins,original_retained,mixed_or_other
Qwen/Qwen2.5-3B,0,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,2,0.0,0.0,0.9848484848484849,0.015151515151515152
Qwen/Qwen2.5-3B,4,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,6,0.0,0.0,0.9772727272727273,0.022727272727272728
Qwen/Qwen2.5-3B,8,0.0,0.015151515151515152,0.8863636363636364,0.09848484848484848
Qwen/Qwen2.5-3B,10,0.0,0.22727272727272727,0.553030303030303,0.2196969696969697
Qwen/Qwen2.5-3B,12,0.007575757575757576,0.30303030303030304,0.3939393939393939,0.29545454545454547
Qwen/Qwen2.5-3B,14,0.007575757575757576,0.4090909090909091,0.3560606060606061,0.22727272727272727
Qwen/Qwen2.5-3B,16,0.007575757575757576,0.5151515151515151,0.2803030303030303,0.19696969696969696
Qwen/Qwen2.5-3B,18,0.007575757575757576,0.5378787878787878,0.26515151515151514,0.1893939393939394
Qwen/Qwen2.5-3B,20,0.007575757575757576,0.5378787878787878,0.2803030303030303,0.17424242424242425
Qwen/Qwen2.5-3B,22,0.007575757575757576,0.6590909090909091,0.09090909090909091,0.24242424242424243
Qwen/Qwen2.5-3B,24,0.007575757575757576,0.6818181818181818,0.06060606060606061,0.25
Qwen/Qwen2.5-3B,26,0.007575757575757576,0.8106060606060606,0.022727272727272728,0.1590909090909091
Qwen/Qwen2.5-3B,28,0.20454545454545456,0.3333333333333333,0.0,0.4621212121212121
Qwen/Qwen2.5-3B,30,0.19696969696969696,0.3106060606060606,0.0,0.49242424242424243
Qwen/Qwen2.5-3B,32,0.803030303030303,0.0,0.0,0.19696969696969696
Qwen/Qwen2.5-3B,34,0.8636363636363636,0.0,0.0,0.13636363636363635
meta-llama/Llama-3.2-3B,0,0.0,0.0,0.9924242424242424,0.007575757575757576
meta-llama/Llama-3.2-3B,2,0.0,0.0,0.9848484848484849,0.015151515151515152
meta-llama/Llama-3.2-3B,4,0.0,0.11363636363636363,0.8560606060606061,0.030303030303030304
meta-llama/Llama-3.2-3B,6,0.007575757575757576,0.5227272727272727,0.4318181818181818,0.03787878787878788
meta-llama/Llama-3.2-3B,8,0.007575757575757576,0.553030303030303,0.38636363636363635,0.05303030303030303
meta-llama/Llama-3.2-3B,10,0.007575757575757576,0.5454545454545454,0.3939393939393939,0.05303030303030303
meta-llama/Llama-3.2-3B,12,0.007575757575757576,0.5454545454545454,0.36363636363636365,0.08333333333333333
meta-llama/Llama-3.2-3B,14,0.03787878787878788,0.803030303030303,0.0,0.1590909090909091
meta-llama/Llama-3.2-3B,16,0.3484848484848485,0.45454545454545453,0.0,0.19696969696969696
meta-llama/Llama-3.2-3B,18,0.6666666666666666,0.17424242424242425,0.0,0.1590909090909091
meta-llama/Llama-3.2-3B,20,0.8787878787878788,0.0,0.0,0.12121212121212122
meta-llama/Llama-3.2-3B,22,0.8484848484848485,0.0,0.0,0.15151515151515152
meta-llama/Llama-3.2-3B,24,0.8560606060606061,0.0,0.0,0.14393939393939395
meta-llama/Llama-3.2-3B,26,0.8863636363636364,0.0,0.0,0.11363636363636363
meta-llama/Meta-Llama-3-8B,0,0.0,0.0,1.0,0.0
meta-llama/Meta-Llama-3-8B,2,0.0,0.0,0.9924242424242424,0.007575757575757576
meta-llama/Meta-Llama-3-8B,4,0.0,0.24242424242424243,0.75,0.007575757575757576
meta-llama/Meta-Llama-3-8B,6,0.007575757575757576,0.32575757575757575,0.6439393939393939,0.022727272727272728
meta-llama/Meta-Llama-3-8B,8,0.007575757575757576,0.42424242424242425,0.5606060606060606,0.007575757575757576
meta-llama/Meta-Llama-3-8B,10,0.007575757575757576,0.44696969696969696,0.5303030303030303,0.015151515151515152
meta-llama/Meta-Llama-3-8B,12,0.007575757575757576,0.5454545454545454,0.4318181818181818,0.015151515151515152
meta-llama/Meta-Llama-3-8B,14,0.007575757575757576,0.7727272727272727,0.1590909090909091,0.06060606060606061
meta-llama/Meta-Llama-3-8B,16,0.23484848484848486,0.696969696969697,0.0,0.06818181818181818
meta-llama/Meta-Llama-3-8B,18,0.4621212121212121,0.4318181818181818,0.0,0.10606060606060606
meta-llama/Meta-Llama-3-8B,20,0.6287878787878788,0.30303030303030304,0.0,0.06818181818181818
meta-llama/Meta-Llama-3-8B,22,0.9090909090909091,0.007575757575757576,0.0,0.08333333333333333
meta-llama/Meta-Llama-3-8B,24,0.9166666666666666,0.0,0.0,0.08333333333333333
meta-llama/Meta-Llama-3-8B,26,0.9090909090909091,0.0,0.0,0.09090909090909091
meta-llama/Meta-Llama-3-8B,28,0.9015151515151515,0.0,0.0,0.09848484848484848
meta-llama/Meta-Llama-3-8B,30,0.9090909090909091,0.0,0.0,0.09090909090909091
microsoft/phi-2,0,0.0,0.0,0.9924242424242424,0.007575757575757576
microsoft/phi-2,2,0.0,0.0,0.9924242424242424,0.007575757575757576
microsoft/phi-2,4,0.0,0.0,0.9924242424242424,0.007575757575757576
microsoft/phi-2,6,0.0,0.1893939393939394,0.7803030303030303,0.030303030303030304
microsoft/phi-2,8,0.0,0.2803030303030303,0.6666666666666666,0.05303030303030303
microsoft/phi-2,10,0.0,0.3106060606060606,0.6212121212121212,0.06818181818181818
microsoft/phi-2,12,0.0,0.4318181818181818,0.5378787878787878,0.030303030303030304
microsoft/phi-2,14,0.0,0.48484848484848486,0.4696969696969697,0.045454545454545456
microsoft/phi-2,16,0.007575757575757576,0.5606060606060606,0.3939393939393939,0.03787878787878788
microsoft/phi-2,18,0.015151515151515152,0.5984848484848485,0.2727272727272727,0.11363636363636363
microsoft/phi-2,20,0.20454545454545456,0.7348484848484849,0.0,0.06060606060606061
microsoft/phi-2,22,0.4393939393939394,0.4621212121212121,0.0,0.09848484848484848
microsoft/phi-2,24,0.7196969696969697,0.12121212121212122,0.0,0.1590909090909091
microsoft/phi-2,26,0.8787878787878788,0.022727272727272728,0.0,0.09848484848484848
microsoft/phi-2,28,0.9242424242424242,0.0,0.0,0.07575757575757576
microsoft/phi-2,30,0.9242424242424242,0.0,0.0,0.07575757575757576
